Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Tuy;Com Exploração;Estação;Rede Espanhola;;;
Maceda;Com Exploração;Estação;Linha do Norte;Maceda;OVAR;AVEIRO
Tamel;Com Exploração;Estação;Linha do Minho;Aborim;BARCELOS;BRAGA
Santos;Com Exploração;Apeadeiro;Linha de Cascais;Estrela;LISBOA;LISBOA
Moscavide;Com Exploração;Apeadeiro;Linha do Norte;Moscavide e Portela;LOURES;LISBOA
Valença;Com Exploração;Estação;Linha do Minho;Valença, Cristelo Covo e Arão;VALENÇA;VIANA DO CASTELO
Midões;Com Exploração;Estação;Linha do Minho;Gamil e Midões;BARCELOS;BRAGA
São João da Madeira;Com Exploração;Estação;Linha do Vouga;São João da Madeira;SÃO JOÃO DA MADEIRA;AVEIRO
Vila das Aves ;Com Exploração;Estação;Linha de Guimarães;Aves;SANTO TIRSO;PORTO
Tua;Com Exploração;Estação;Linha do Douro;Castanheiro do Norte e Ribalonga;CARRAZEDA DE ANSIÃES;BRAGANÇA
Espinho-Vouga;Com Exploração;Estação;Linha do Vouga;Espinho;ESPINHO;AVEIRO
Silva;Com Exploração;Apeadeiro;Linha do Minho;Silva;BARCELOS;BRAGA
São Pedro da Torre;Com Exploração;Estação;Linha do Minho;São Pedro da Torre;VALENÇA;VIANA DO CASTELO
Vila Nova da Raínha;Com Exploração;Apeadeiro;Linha do Norte;Vila Nova da Rainha;AZAMBUJA;LISBOA
Estarreja;Com Exploração;Estação;Linha do Norte;Beduído e Veiros;ESTARREJA;AVEIRO
Branca;Com Exploração;Apeadeiro;Linha do Vouga;Branca;ALBERGARIA-A-VELHA;AVEIRO
Valongo-Vouga;Com Exploração;Apeadeiro;Linha do Vouga;Valongo do Vouga;ÁGUEDA;AVEIRO
Mirão;Com Exploração;Apeadeiro;Linha do Douro;Santa Cruz do Douro e São Tomé de Covelas;BAIÃO;PORTO
Oliveira;Com Exploração;Apeadeiro;Linha do Douro;Vila Meã;AMARANTE;PORTO
Famalicão;Com Exploração;Estação;Linha do Minho;Vila Nova de Famalicão e Calendário;VILA NOVA DE FAMALICÃO;BRAGA
Covas;Com Exploração;Apeadeiro;Linha de Guimarães;Urgezes;GUIMARÃES;BRAGA
Darque;Com Exploração;Estação;Linha do Minho;Darque;VIANA DO CASTELO;VIANA DO CASTELO
Seiça-Ourém;Com Exploração;Apeadeiro;Linha do Norte;Seiça;OURÉM;SANTARÉM
Alferrarede;Com Exploração;Estação;Linha da Beira Baixa;Abrantes (São Vicente e São João) e Alferrarede;ABRANTES;SANTARÉM
Fernando Pó;Com Exploração;Apeadeiro;Linha do Alentejo;Poceirão e Marateca;PALMELA;SETÚBAL
Aveiro - Vouga;Com Exploração;Estação;Linha do Vouga;Esgueira;AVEIRO;AVEIRO
São Romão;Com Exploração;Estação;Linha do Minho;Coronado (São Romão e São Mamede);TROFA;PORTO
Freixo de Numão;Com Exploração;Apeadeiro;Linha do Douro;Vila Nova de Foz Côa;VILA NOVA DE FOZ CÔA;GUARDA
Benquerenças;Com Exploração;Apeadeiro;Linha da Beira Baixa;Benquerenças;CASTELO BRANCO;CASTELO BRANCO
Fungalvaz Resguardo;Com Exploração;Estação;Linha do Norte;Madalena e Beselga;TOMAR;SANTARÉM
Alcainça-Moinhos;Com Exploração;Apeadeiro;Linha do Oeste;Malveira e São Miguel de Alcainça;MAFRA;LISBOA
Pereirinhas;Com Exploração;Apeadeiro;Linha de Guimarães;Moreira de Cónegos;GUIMARÃES;BRAGA
São Frutuoso;Com Exploração;Estação;Linha do Minho;Folgosa;MAIA;PORTO
Vila Franca de Xira;Com Exploração;Apeadeiro;Linha do Norte;Vila Franca de Xira;VILA FRANCA DE XIRA;LISBOA
Couto de Cucujães;Com Exploração;Apeadeiro;Linha do Vouga;Vila de Cucujães;OLIVEIRA DE AZEMÉIS;AVEIRO
Oliveira de Azeméis;Com Exploração;Estação;Linha do Vouga;O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail;OLIVEIRA DE AZEMÉIS;AVEIRO
Carreço;Com Exploração;Apeadeiro;Linha do Minho;Carreço;VIANA DO CASTELO;VIANA DO CASTELO
Afife ;Com Exploração;Apeadeiro;Linha do Minho;Afife;VIANA DO CASTELO;VIANA DO CASTELO
Simões;Com Exploração;Apeadeiro;Linha do Norte;Soure;SOURE;COIMBRA
Taipa - Requeixo;Com Exploração;Apeadeiro;Linha do Vouga;Requeixo, Nossa Senhora de Fátima e Nariz;AVEIRO;AVEIRO
Marco de Canaveses;Com Exploração;Estação;Linha do Douro;Marco;MARCO DE CANAVESES;PORTO
Vila Nova de Anços;Com Exploração;Apeadeiro;Linha do Norte;Vila Nova de Anços;SOURE;COIMBRA
Sanfins;Com Exploração;Apeadeiro;Linha do Vouga;Santa Maria da Feira, Travanca, Sanfins e Espargo;SANTA MARIA DA FEIRA;AVEIRO
São Mamede de Infesta;Com Exploração;Estação;Linha de Leixões;São Mamede de Infesta e Senhora da Hora;MATOSINHOS;PORTO
Ferreiros;Com Exploração;Apeadeiro;Ramal de Braga;Ferreiros e Gondizalves;BRAGA;BRAGA
Contumil;Com Exploração;Estação;Linha do Minho;Campanhã;PORTO;PORTO
Meinedo;Com Exploração;Apeadeiro;Linha do Douro;Meinedo;LOUSADA;PORTO
Rio Tinto;Com Exploração;Apeadeiro;Linha do Minho;Rio Tinto;GONDOMAR;PORTO
Cête;Com Exploração;Estação;Linha do Douro;Cete;PAREDES;PORTO
Vila Meã;Com Exploração;Estação;Linha do Douro;Vila Meã;AMARANTE;PORTO
Caxarias;Com Exploração;Estação;Linha do Norte;Caxarias;OURÉM;SANTARÉM
Entroncamento;Com Exploração;Estação;Linha do Norte;Nossa Senhora de Fátima;ENTRONCAMENTO;SANTARÉM
Senhora da Agonia;Com Exploração;Apeadeiro;Linha do Minho;Caminha (Matriz) e Vilarelho;CAMINHA;VIANA DO CASTELO
Ermida;Com Exploração;Estação;Linha do Douro;Santa Marinha do Zêzere;BAIÃO;PORTO
Mealhada Norte;Com Exploração;Estação;Linha do Norte;Mealhada, Ventosa do Bairro e Antes;MEALHADA;AVEIRO
Avanca;Com Exploração;Apeadeiro;Linha do Norte;Avanca;ESTARREJA;AVEIRO
Santana Cartaxo Resguardo;Com Exploração;Estação;Linha do Norte;Vila Chã de Ourique;CARTAXO;SANTARÉM
Braga;Com Exploração;Estação;Ramal de Braga;Braga (Maximinos, Sé e Cividade);BRAGA;BRAGA
Cuca;Com Exploração;Apeadeiro;Linha de Guimarães;Moreira de Cónegos;GUIMARÃES;BRAGA
